"","logFC","AveExpr","t","P.Value","adj.P.Val","B","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10"
"cg01879488",-0.01518299,0.067131989,-2.98135416293022,0.00737887271188438,0.00737887271188438,-3.49037776617717,"11",35160498,"F","II","CD44","5'UTR","island","5'UTR-island","chr11:35160375-35161000",TRUE,NA,"high-CpG:35116961-35117464","",""
"cg18283554",-0.037117439,0.1282527705,-2.98133024015005,0.00737926948290504,0.00737926948290504,-3.49042929916027,"12",123943075,"R","II","SNRNP35","5'UTR","shore","5'UTR-shore","chr12:123942639-123943001",NA,NA,"","",""
"cg21870884",0.022803433,0.0498865115,2.98113079283707,0.00738257821503049,0.00738257821503049,-3.49085893017555,"1",200842429,"R","II","GPR25","1stExon","island","1stExon-island","chr1:200842196-200843388",NA,NA,"","",""
"cg10307548",-0.07030393,0.409667455,-2.98104587609588,0.00738398737584252,0.00738398737584252,-3.49104184666763,"4",24795830,"F","II","SOD3","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg27371741",0.04223309,0.370582095,2.97972570396965,0.00740592851325382,0.00740592851325382,-3.49388533264262,"3",46619158,"R","II","LRRC2","5'UTR","shore","5'UTR-shore","chr3:46618307-46618669",NA,NA,"","",""
"cg25226247",-0.04141992,0.3120827,-2.97891816066799,0.00741938077932613,0.00741938077932613,-3.49562444333161,"6",50785152,"F","II","TFAP2B","TSS1500","shelf","TSS1500-shelf","chr6:50787286-50788091",NA,NA,"","rs10456638",""
"cg10184886",-0.03519704,0.23953807,-2.97871485056414,0.00742277128225661,0.00742277128225661,-3.49606225996116,"22",38577578,"R","II","PLA2G6","5'UTR","shore","5'UTR-shore","chr22:38577678-38578071",NA,TRUE,"","",""
"cg25420952",0.0504327,0.68254855,2.97753741028553,0.00744243627161909,0.00744243627161909,-3.49859758559679,"9",116841084,"F","II","AMBP","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg01662650",0.0701837299999999,0.739056925,2.97709694028761,0.00744980567141596,0.00744980567141596,-3.49954593009342,"X",21874323,"F","II","YY2","TSS1500","island","TSS1500-island","chrX:21874261-21874825",NA,NA,"","",""
"cg17998964",-0.06799221,0.544877505,-2.97677776389849,0.00745515013153045,0.00745515013153045,-3.50023309248107,"11",63655903,"R","II","MARK2","Body","opensea","Body-opensea","",TRUE,TRUE,"","",""
"cg15888522",0.05889493,0.493297055,2.97659783534642,0.00745816458032063,0.00745816458032063,-3.50062045249882,"3",46068932,"R","II","XCR1","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg12727795",-0.018638771,0.0659602985,-2.97596634243156,0.00746875365381382,0.00746875365381382,-3.50197989410047,"5",149535695,"F","II","PDGFRB","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg04450876",0.05451814,0.7482648,2.97506406237818,0.0074839085224187,0.0074839085224187,-3.503922079218,"12",54866945,"R","II","GTSF1","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg01352108",0.041760396,0.108922048,2.97472839750878,0.00748955397525779,0.00748955397525779,-3.50464455048603,"11",64058878,"R","II","KCNK4","5'UTR","island","5'UTR-island","chr11:64058808-64060118",NA,NA,"","",""
"cg20312475",-0.02653377,0.06680718,-2.97337383033097,0.00751237779437667,0.00751237779437667,-3.50755974801039,"16",19896461,"F","II","GPRC5B","TSS1500","island","TSS1500-island","chr16:19894965-19897156",NA,NA,"","",""
"cg27016307",0.04978185,0.185673985,2.97271504893609,0.00752350216717032,0.00752350216717032,-3.50897734385131,"19",49658913,"R","II","HRC","TSS1500","shore","TSS1500-shore","chr19:49660880-49661157",NA,NA,"","",""
"cg19388557",0.0534777100000001,0.599403315,2.97073014857069,0.00755711583521916,0.00755711583521916,-3.51324781449383,"X",78426877,"R","II","GPR174","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg26895595",0.03903429,0.368231105,2.96911111108641,0.00758464086137897,0.00758464086137897,-3.51673032786225,"X",30248436,"F","II","MAGEB3","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
"cg14701962",0.05465361,0.639661415,2.96851747246001,0.00759475741304565,0.00759475741304565,-3.51800704841199,"1",162348010,"F","II","C1orf226","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg26825412",0.07546719,0.457557175,2.96829892259598,0.0075984851260062,0.0075984851260062,-3.51847705223428,"20",62681428,"R","II","SOX18","TSS1500","shore","TSS1500-shore","chr20:62679424-62680883",NA,NA,"","",""
"cg09893305",0.0640131,0.56389384,2.9667365319477,0.00762518556625086,0.00762518556625086,-3.5218366736229,"5",83017184,"R","II","HAPLN1","TSS1500","shore","TSS1500-shore","chr5:83017894-83018358",NA,NA,"","",""
"cg02039171",0.05773089,0.811238535,2.96562119680281,0.00764430134007938,0.00764430134007938,-3.52423457116078,"14",23588162,"F","II","CEBPE","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg08292050",0.0697150800000001,0.59684325,2.96507595097058,0.00765366312553617,0.00765366312553617,-3.52540668752842,"14",55492636,"R","II","WDHD1","5'UTR","shore","5'UTR-shore","chr14:55493614-55494032",NA,NA,"","",""
"cg09113530",0.05703814,0.48367148,2.96498333259582,0.0076552544656827,0.0076552544656827,-3.52560578122996,"2",110873741,"F","II","MALL","5'UTR","shore","5'UTR-shore","chr2:110872945-110873587",TRUE,TRUE,"","",""
"cg04502814",0.08292988,0.2521686,2.96446001022181,0.0076642520191604,0.0076642520191604,-3.52673067696255,"5",42811952,"R","II","SEPP1","1stExon","opensea","1stExon-opensea","",NA,TRUE,"","",""
"cg08141463",0.06774628,0.66034046,2.96395736934942,0.00767290358474674,0.00767290358474674,-3.52781104511641,"3",119310381,"R","II","","IGR","opensea","IGR-opensea","",NA,NA,"","",""
"cg17774418",0.04244207,0.447011025,2.96308513831026,0.00768793895209423,0.00768793895209423,-3.52968563656514,"6",6622864,"F","II","LOC285780","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg00332153",0.009577713,0.0490808765,2.96282288845089,0.00769246511685117,0.00769246511685117,-3.53024922004907,"4",102712010,"F","II","BANK1","5'UTR","island","5'UTR-island","chr4:102711829-102712199",TRUE,NA,"","rs35427649",""
"cg11418559",0.032783264,0.112085593,2.96199315293555,0.00770680242032477,0.00770680242032477,-3.53203222173275,"1",26487928,"R","II","GRRP1","Body","island","Body-island","chr1:26487807-26488606",TRUE,NA,"","",""
"cg11609154",-0.027884894,0.09178248,-2.96199076868878,0.00770684365566443,0.00770684365566443,-3.53203734491381,"7",139026010,"R","I","C7orf55","5'UTR","island","5'UTR-island","chr7:139024930-139026298",NA,NA,"","",""
"cg01281904",0.07586256,0.39241377,2.96179641055861,0.00771020577748251,0.00771020577748251,-3.53245496909711,"8",54164757,"F","II","OPRK1","TSS1500","shore","TSS1500-shore","chr8:54163303-54164443",NA,NA,"","rs3808627",""
"cg13507893",0.06734068,0.55813035,2.96144950626987,0.00771621024478008,0.00771621024478008,-3.53320034827273,"22",32650997,"F","II","SLC5A4","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg02164386",0.03742557,0.446837135,2.96060880484874,0.00773078039698675,0.00773078039698675,-3.53500658925211,"17",42925536,"R","II","HIGD1B","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg18084554",0.05705665,0.515373145,2.96015386369972,0.00773867600527914,0.00773867600527914,-3.53598394431584,"19",929046,"R","II","ARID3A","5'UTR","shore","5'UTR-shore","chr19:929514-929839",NA,NA,"","",""
"cg04761824",0.079154,0.73859773,2.95994087824711,0.00774237508569044,0.00774237508569044,-3.53644148332404,"9",117905075,"F","II","DEC1","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","rs78842065",""
"cg25842356",0.0599885700000001,0.649782455,2.95977039482535,0.00774533722817857,0.00774533722817857,-3.5368077095564,"5",126367370,"F","II","MARCH3","TSS1500","shore","TSS1500-shore","chr5:126365623-126367250",NA,NA,"","rs74371620",""
"cg13729392",-0.039805354,0.152803673,-2.95836179949801,0.00776985331811862,0.00776985331811862,-3.53983328974806,"14",70826495,"R","II","COX16","TSS200","island","TSS200-island","chr14:70826255-70826580",TRUE,NA,"","",""
"cg17030820",0.06109029,0.734511075,2.95760651204003,0.00778302958687461,0.00778302958687461,-3.54145537305977,"10",51549260,"F","II","MSMB","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg15146752",-0.05180811,0.268998525,-2.95630594521029,0.0078057689047063,0.0078057689047063,-3.54424814205835,"1",16482767,"F","II","EPHA2","TSS1500","island","TSS1500-island","chr1:16481484-16482782",NA,NA,"","",""
"cg18833140",0.0507704500000001,0.616762675,2.9555392725297,0.00781920349313265,0.00781920349313265,-3.54589423140045,"10",115312553,"R","II","HABP2","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg11044163",-0.022614041,0.0839062675,-2.9551882465765,0.00782536203370552,0.00782536203370552,-3.54664784851843,"7",29186153,"F","II","CPVL","TSS200","opensea","TSS200-opensea","",NA,TRUE,"","rs2687633",""
"cg13351161",0.018839058,0.054474875,2.95478959687361,0.0078323617691877,0.0078323617691877,-3.54750366682554,"8",27490921,"F","II","SCARA3","TSS1500","shore","TSS1500-shore","chr8:27490959-27491775",NA,NA,"","",""
"cg07867360",-0.0536471,0.71455052,-2.95322384532565,0.00785991258384725,0.00785991258384725,-3.55086457662463,"4",6475156,"F","II","PPP2R2C","TSS1500","shore","TSS1500-shore","chr4:6472175-6474534",NA,NA,"","",""
"cg05749792",0.05184849,0.533500585,2.951960091555,0.00788221750601765,0.00788221750601765,-3.55357673808757,"X",69397704,"R","II","DGAT2L6","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg07380416",-0.0303945299999999,0.877851625,-2.95153326537495,0.00788976463475821,0.00788976463475821,-3.5544926542322,"11",60739172,"R","II","CD6","5'UTR","opensea","5'UTR-opensea","",NA,NA,"low-CpG:60495707-60495828","",""
"cg16098726",0.08712506,0.50105717,2.95086880495972,0.00790152745361035,0.00790152745361035,-3.55591840134701,"3",128778738,"R","II","GP9","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg25125453",-0.04634789,0.186750245,-2.95028717985807,0.00791183771119649,0.00791183771119649,-3.55716630424972,"20",12989844,"F","II","SPTLC3","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg08054038",-0.0358307,0.46885598,-2.94784718647864,0.00795523190353428,0.00795523190353428,-3.56240037435903,"19",45348674,"R","II","PVRL2","TSS1500","shore","TSS1500-shore","chr19:45349328-45350044",NA,NA,"","",""
"cg13005002",0.05865213,0.502148155,2.94757673663049,0.00796005581468825,0.00796005581468825,-3.56298041670919,"22",32752769,"R","II","RFPL3","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg22084336",-0.017262261,0.0762683645,-2.94614858369837,0.00798557596600507,0.00798557596600507,-3.56604307660095,"3",33482401,"F","II","UBP1","TSS1500","shore","TSS1500-shore","chr3:33482600-33482864",NA,NA,"","",""
"cg12365667",-0.03270181,0.319385265,-2.94582371950692,0.00799139206023418,0.00799139206023418,-3.56673966363681,"6",33043976,"R","II","HLA-DPB1","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg20967220",0.0322492000000001,0.5363701,2.94533930024747,0.00800007226728994,0.00800007226728994,-3.56777831933656,"6",53013647,"R","II","GCM1","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
"cg27649653",0.03125041,0.178807425,2.94501641033468,0.00800586310358915,0.00800586310358915,-3.56847059871552,"19",58789751,"R","II","ZNF8","TSS1500","shore","TSS1500-shore","chr19:58789914-58790972",NA,NA,"","",""
"cg19514469",0.0603611,0.41665063,2.94431990918854,0.00801836817342109,0.00801836817342109,-3.56996380335151,"16",67233432,"F","II","ELMO3","Body","island","Body-island","chr16:67233032-67233862",NA,TRUE,"","",""
"cg12513379",-0.03161301,0.319724075,-2.9434570284176,0.00803388651801921,0.00803388651801921,-3.57181351164974,"19",15838397,"F","II","OR10H2","TSS1500","shore","TSS1500-shore","chr19:15838996-15839277",NA,NA,"","",""
"cg12648583",-0.027109553,0.0750354575,-2.94293873121354,0.00804322164441129,0.00804322164441129,-3.57292445367778,"4",175205248,"R","II","KIAA1712","5'UTR","island","5'UTR-island","chr4:175204565-175205395",NA,NA,"","",""
"cg27379587",-0.03069627,0.225007475,-2.94231210139457,0.00805452190609522,0.00805452190609522,-3.57426749838704,"15",85201911,"F","II","NMB","TSS200","shore","TSS200-shore","chr15:85201196-85201684",NA,NA,"","",""
"cg03513163",-0.05532832,0.20964489,-2.9421922907005,0.00805668423864666,0.00805668423864666,-3.57452427377586,"5",140431149,"R","II","PCDHB1","1stExon","opensea","1stExon-opensea","",NA,TRUE,"","",""
"cg07076342",-0.020710538,0.105212081,-2.94158945198249,0.00806757269714524,0.00806757269714524,-3.57581620092956,"6",42981435,"F","II","KLHDC3","TSS1500","island","TSS1500-island","chr6:42981408-42982077",NA,NA,"","",""
"cg00498604",-0.03728589,0.246913775,-2.94128924934531,0.00807300023061666,0.00807300023061666,-3.57645951823809,"4",166793789,"F","II","TLL1","TSS1500","shore","TSS1500-shore","chr4:166794545-166795341",NA,NA,"","",""
"cg05105913",0.03912522,0.26045824,2.94115722040561,0.00807538836895632,0.00807538836895632,-3.57674244064566,"17",48422990,"R","II","XYLT2","TSS1500","island","TSS1500-island","chr17:48422989-48423564",NA,NA,"","",""
"cg10396470",-0.035016243,0.1073386535,-2.94061696175636,0.0080851676472818,0.0080851676472818,-3.57790009911169,"12",69080893,"R","II","NUP107","Body","island","Body-island","chr12:69080580-69081152",NA,NA,"","",""
"cg18601426",0.022161023,0.0997885685,2.94021740000768,0.00809240748610291,0.00809240748610291,-3.57875622056113,"7",158381220,"F","II","PTPRN2","TSS1500","island","TSS1500-island","chr7:158379328-158381221",NA,NA,"","",""
"cg20609368",0.06259672,0.72389835,2.9380340574429,0.00813207875912036,0.00813207875912036,-3.58343355451517,"11",5257253,"F","II","HBD","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg22311533",0.0523169,0.65720404,2.93764889290478,0.00813909657773038,0.00813909657773038,-3.5842585435048,"5",132200008,"R","II","GDF9","1stExon","shore","1stExon-shore","chr5:132201901-132202753",NA,NA,"","",""
"cg14758526",0.06926001,0.667858295,2.93738243689781,0.00814395489922751,0.00814395489922751,-3.58482924422161,"11",104879683,"R","II","CASP5","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg00288562",0.018647981,0.0366973375,2.93683051699153,0.00815402699197731,0.00815402699197731,-3.58601129231057,"7",23571645,"R","I","TRA2A","5'UTR","island","5'UTR-island","chr7:23570757-23571819",NA,NA,"high-CpG:23538015-23538210","",""
"cg14358502",-0.041639962,0.114691161,-2.93650302324341,0.00816000915295777,0.00816000915295777,-3.58671264505077,"3",50337045,"F","II","HYAL3","TSS200","shore","TSS200-shore","chr3:50336331-50336879",NA,NA,"","",""
"cg13019092",0.0467452,0.50499077,2.9348837107287,0.00818965041503283,0.00818965041503283,-3.59018007286949,"1",145727720,"R","II","PDZK1","TSS200","opensea","TSS200-opensea","",NA,TRUE,"","",""
"cg00077457",0.0478412700000001,0.611469705,2.93468447585019,0.00819330452669605,0.00819330452669605,-3.59060664167572,"1",90460000,"R","II","ZNF326","TSS1500","shore","TSS1500-shore","chr1:90460399-90461237",NA,NA,"","",""
"cg22001782",-0.03577195,0.142560415,-2.93404511153014,0.00820504152635884,0.00820504152635884,-3.59197546578078,"1",147013236,"R","II","BCL9","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg09667582",-0.0250656,0.14424335,-2.93395758192828,0.00820664959126624,0.00820664959126624,-3.59216284998457,"15",76135159,"R","II","UBE2Q2","TSS1500","shore","TSS1500-shore","chr15:76135311-76136946",NA,NA,"","",""
"cg14772955",0.04490215,0.271193765,2.93266871945584,0.00823036327384565,0.00823036327384565,-3.59492180353203,"1",36024404,"R","II","KIAA0319L","TSS1500","shore","TSS1500-shore","chr1:36022680-36023834",NA,NA,"","",""
"cg01722450",0.07100646,0.49923316,2.93219742420043,0.00823905104617889,0.00823905104617889,-3.59593054393177,"18",61816636,"R","II","C18orf20","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg03260744",0.0575631299999999,0.735843975,2.93195440071075,0.00824353434403117,0.00824353434403117,-3.59645067608289,"1",36549062,"R","II","TEKT2","TSS1500","shore","TSS1500-shore","chr1:36549554-36549965",NA,NA,"","",""
"cg21800439",-0.019272694,0.077262213,-2.93141125331679,0.00825356281274372,0.00825356281274372,-3.59761308821705,"12",56753886,"F","I","STAT2","5'UTR","island","5'UTR-island","chr12:56753861-56754323",NA,NA,"high-CpG:55040139-55040247","rs76791377",""
"cg00986320",0.0354477199999999,0.54315049,2.93092054323875,0.00826263318759676,0.00826263318759676,-3.5986632038789,"5",156695551,"F","II","CYFIP2","5'UTR","shore","5'UTR-shore","chr5:156692812-156693749",NA,TRUE,"","rs75008421",""
"cg08124722",0.0374471799999999,0.8485827,2.9284679401388,0.00830811144612684,0.00830811144612684,-3.60391071214024,"17",32597714,"F","II","CCL7","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg14753432",-0.05302637,0.744705705,-2.92826771089703,0.00831183487796412,0.00831183487796412,-3.60433903917507,"11",44324833,"R","II","ALX4","Body","shore","Body-shore","chr11:44324875-44325087",TRUE,NA,"","",""
"cg22023770",0.033880701,0.0808627905,2.92792169127607,0.00831827318824832,0.00831827318824832,-3.60507921118516,"6",13486545,"R","II","C6orf114","TSS200","island","TSS200-island","chr6:13486324-13488792",NA,NA,"","",""
"cg22485810",-0.04800461,0.237331575,-2.92752711536415,0.00832562082738158,0.00832562082738158,-3.60592320785023,"17",29248725,"F","II","ADAP2","TSS200","shore","TSS200-shore","chr17:29248847-29249926",TRUE,NA,"","",""
"cg01959848",-0.023518155,0.0950264825,-2.92713384349617,0.00833295039340952,0.00833295039340952,-3.60676437029382,"11",57480394,"F","II","TMX2","Body","shore","Body-shore","chr11:57479486-57480308",NA,NA,"","",""
"cg14782678",0.0396161699999999,0.561758955,2.92479989303174,0.00837657701700821,0.00837657701700821,-3.61175549405089,"17",7339721,"R","II","TMEM102","Body","shore","Body-shore","chr17:7339808-7340896",NA,NA,"","",""
"cg20080624",0.0860770699999999,0.410231675,2.92341843556461,0.00840250284796181,0.00840250284796181,-3.61470897842488,"7",96651111,"F","II","DLX5","Body","island","Body-island","chr7:96650221-96651551",NA,NA,"","",""
"cg03852144",-0.026538603,0.1122816985,-2.92234160378607,0.00842276525341178,0.00842276525341178,-3.61701080404338,"5",95159639,"F","II","GLRX","TSS1500","opensea","TSS1500-opensea","",TRUE,TRUE,"","",""
"cg11903057",-0.02889074,0.21767421,-2.92205444673227,0.0084281765264305,0.0084281765264305,-3.61762457130668,"4",40198776,"F","II","RHOH","5'UTR","opensea","5'UTR-opensea","",NA,TRUE,"","rs10016264",""
"cg08749917",0.0740593100000001,0.622317265,2.92191783718917,0.00843075201041482,0.00843075201041482,-3.61791655105911,"3",186915320,"R","II","RTP1","1stExon","shelf","1stExon-shelf","chr3:186917411-186917756",NA,NA,"","",""
"cg20525378",-0.02973681,0.202383535,-2.92186644434513,0.00843172110963569,0.00843172110963569,-3.61802639314898,"1",172501430,"R","II","C1orf9","TSS1500","shore","TSS1500-shore","chr1:172501910-172502545",NA,NA,"","",""
"cg04377282",-0.05332028,0.51362284,-2.92186306296523,0.00843178487504225,0.00843178487504225,-3.61803362015608,"10",72201417,"F","II","NODAL","1stExon","shore","1stExon-shore","chr10:72200065-72201368",TRUE,TRUE,"high-CpG:71871376-71871446","",""
"cg11147193",0.09355541,0.523409285,2.92136760120715,0.00844113320925192,0.00844113320925192,-3.61909253221151,"2",10442040,"R","II","HPCAL1","TSS1500","shore","TSS1500-shore","chr2:10442308-10444509",NA,NA,"","",""
"cg19843036",-0.014663826,0.056038484,-2.92011249272727,0.00846485911064658,0.00846485911064658,-3.62177465825327,"4",159131516,"R","II","TMEM144","5'UTR","island","5'UTR-island","chr4:159131508-159131736",TRUE,TRUE,"","",""
"cg08191915",-0.0591380099999999,0.461329305,-2.91982019317572,0.00847039378180911,0.00847039378180911,-3.6223992269523,"11",124481614,"R","II","PANX3","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg11398517",0.0655387,0.35816783,2.91938146133241,0.00847870766769029,0.00847870766769029,-3.62333663687433,"20",42355625,"F","II","GTSF1L","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg12711530",0.04993066,0.44564379,2.91875917734253,0.0084905132865964,0.0084905132865964,-3.62466613441936,"2",69099285,"R","II","BMP10","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg17027046",-0.04893889,0.157910685,-2.91830441075508,0.00849915085159586,0.00849915085159586,-3.62563766279741,"20",3190012,"R","II","ITPA","TSS200","island","TSS200-island","chr20:3190011-3190562",NA,NA,"","",""
"cg03910901",-0.023676454,0.09885918,-2.91777947667999,0.00850913163764725,0.00850913163764725,-3.62675901647064,"7",99686330,"R","II","COPS6","TSS1500","shore","TSS1500-shore","chr7:99686452-99686839",NA,NA,"","",""
"cg08046471",0.06914631,0.624268035,2.91630263167179,0.00853727196346008,0.00853727196346008,-3.62991339102151,"4",76958126,"R","II","ART3","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg11566199",0.0134711400000001,0.90867605,2.91628564366836,0.00853759617863721,0.00853759617863721,-3.62994967177037,"12",51773594,"F","II","GALNT6","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg07292816",0.04330878,0.51754397,2.91403691868164,0.00858061759516079,0.00858061759516079,-3.6347514573307,"17",60457116,"R","II","EFCAB3","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg25841987",-0.04227281,0.138822905,-2.91353830092942,0.00859018506595366,0.00859018506595366,-3.63581597343326,"4",159093841,"R","II","FAM198B","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
"cg04267184",0.0963305,0.35200768,2.91327727596188,0.00859519769673507,0.00859519769673507,-3.63637321547542,"20",3023418,"F","II","GNRH2","TSS1500","shelf","TSS1500-shelf","chr20:3026277-3027468",NA,NA,"","",""
"cg21570220",-0.03227969,0.179292465,-2.91265342961268,0.00860718920965918,0.00860718920965918,-3.63770493583068,"12",51419900,"F","II","SLC11A2","5'UTR","island","5'UTR-island","chr12:51419640-51420347",NA,NA,"","",""
"cg03109701",0.04142573,0.377949145,2.91262547955772,0.0086077268389482,0.0086077268389482,-3.63776459793888,"12",117174758,"R","II","RNFT2","TSS1500","shore","TSS1500-shore","chr12:117175623-117176436",NA,NA,"","",""
"cg24249775",0.06878411,0.494871115,2.91030726423208,0.00865243104475475,0.00865243104475475,-3.64271225447815,"17",38978344,"F","II","KRT10","1stExon","opensea","1stExon-opensea","",NA,NA,"","rs60118264","rs56809156"
"cg05392265",0.05861532,0.42013942,2.90952101557798,0.0086676435726675,0.0086676435726675,-3.64438994845434,"1",68516453,"R","II","DIRAS3","1stExon","island","1stExon-island","chr1:68516236-68516473",NA,NA,"","",""
"cg21275690",-0.05525534,0.17512635,-2.90827696696133,0.0086917662334117,0.0086917662334117,-3.64704412194693,"16",3072970,"F","II","HCFC1R1","Body","shore","Body-shore","chr16:3073686-3074443",NA,TRUE,"","",""
"cg09107315",0.057235305,0.1217809995,2.90689543723124,0.00871863029592958,0.00871863029592958,-3.64999107604031,"1",78511488,"F","II","GIPC2","TSS200","shore","TSS200-shore","chr1:78511577-78512161",TRUE,NA,"","",""
"cg18084791",0.07013938,0.7144027,2.90686939576943,0.00871913744137268,0.00871913744137268,-3.65004661991838,"1",159797320,"R","II","SLAMF8","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg17749384",0.04105958,0.69071388,2.90614372458881,0.0087332809552856,0.0087332809552856,-3.6515943246528,"10",28571186,"R","II","MPP7","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
"cg20015855",0.03603714,0.85049796,2.90601821813912,0.00873572934196523,0.00873572934196523,-3.65186198785907,"15",68937562,"F","II","CORO2B","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg02026235",0.009487117,0.0572102945,2.90567096128141,0.00874250708422036,0.00874250708422036,-3.65260254612817,"16",725862,"R","II","RHBDL1","TSS1500","shelf","TSS1500-shelf","chr16:729438-735815",TRUE,NA,"","",""
"cg26531804",0.0647317800000001,0.40093852,2.90330996060823,0.0087887230796427,0.0087887230796427,-3.65763665884901,"15",41135847,"R","II","SPINT1","TSS1500","island","TSS1500-island","chr15:41135719-41137210",NA,NA,"","",""
"cg13038560",0.0698135199999999,0.63709547,2.90330740475829,0.00878877323668438,0.00878877323668438,-3.65764210752407,"2",200819113,"F","II","C2orf60","Body","shore","Body-shore","chr2:200820053-200820716",NA,NA,"","",""
"cg06432655",0.019670869,0.0650920015,2.90231449705722,0.00880827927557172,0.00880827927557172,-3.65975868604556,"19",36523405,"F","II","CLIP3","5'UTR","island","5'UTR-island","chr19:36523391-36523887",TRUE,NA,"","",""
"cg25191725",0.03015064,0.80378456,2.90196717306161,0.00881511239478651,0.00881511239478651,-3.6604990066137,"17",26554221,"R","II","PYY2","Body","shore","Body-shore","chr17:26554244-26555018",NA,NA,"","",""
"cg09499849",-0.035395486,0.123098744,-2.90114620407508,0.00883128406824918,0.00883128406824918,-3.66224875848247,"2",158695158,"R","II","ACVR1","5'UTR","opensea","5'UTR-opensea","",NA,TRUE,"","",""
"cg08463061",-0.03542635,0.179656955,-2.90105952584434,0.00883299314186746,0.00883299314186746,-3.66243348630293,"2",151344332,"F","II","RND3","TSS200","shore","TSS200-shore","chr2:151341742-151343191",NA,NA,"","",""
"cg13521229",0.04814071,0.249206525,2.9003502835331,0.00884698952881458,0.00884698952881458,-3.66394493295551,"19",51013630,"R","II","JOSD2","Body","shore","Body-shore","chr19:51014318-51014873",NA,NA,"","",""
"cg01843018",0.05963943,0.443299105,2.90028961704677,0.00884818772659768,0.00884818772659768,-3.66407421068832,"9",123813144,"F","II","C5","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg27032352",-0.03909275,0.193450985,-2.89910252704917,0.00887166481484373,0.00887166481484373,-3.66660362948065,"21",29384327,"R","II","C21orf94","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg20092036",-0.03157668,0.13810684,-2.89777298543718,0.00889803018302081,0.00889803018302081,-3.66943608266394,"12",109914141,"R","II","UBE3B","TSS1500","shore","TSS1500-shore","chr12:109915131-109915638",NA,NA,"","",""
"cg09923671",0.06066127,0.566584045,2.8976461364071,0.00890054958032127,0.00890054958032127,-3.66970629412489,"20",61041341,"F","II","GATA5","Body","island","Body-island","chr20:61041273-61041723",NA,NA,"","",""
"cg21129531",0.04982325,0.821699235,2.89623165195318,0.00892868964123675,0.00892868964123675,-3.67271907800327,"7",127670703,"F","II","LRRC4","5'UTR","shore","5'UTR-shore","chr7:127671158-127672853",TRUE,NA,"","",""
"cg04230869",-0.010210486,0.065244068,-2.89613952650054,0.00893052536484809,0.00893052536484809,-3.67291528010126,"8",103251129,"F","II","RRM2B","1stExon","island","1stExon-island","chr8:103250753-103251209",NA,NA,"","",""
"cg04443324",0.03278681,0.869638215,2.89583313111554,0.00893663331223018,0.00893663331223018,-3.67356780052976,"5",150948306,"F","II","FAT2","1stExon","opensea","1stExon-opensea","",NA,NA,"","rs61375036",""
"cg01182585",-0.026177636,0.107666457,-2.89536085878896,0.00894605584846417,0.00894605584846417,-3.67457352890809,"7",23338735,"F","II","C7orf30","TSS1500","shore","TSS1500-shore","chr7:23338797-23339264",NA,NA,"","rs466240",""
